"filename", "language", "YAML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\app.js", "JavaScript", 0, 11, 0, 0, 3, 14
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\controller\clash2singboxRouter.js", "JavaScript", 0, 5, 0, 0, 0, 5
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\package.json", "JSON", 0, 0, 19, 0, 1, 20
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\pnpm-lock.yaml", "YAML", 458, 0, 0, 0, 76, 534
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\service\clash2singboxService.js", "JavaScript", 0, 102, 0, 8, 22, 132
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\test.js", "JavaScript", 0, 7, 0, 7, 7, 21
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\util\config.json", "JSON", 0, 0, 1774, 0, 0, 1774
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\util\example.json", "JSON", 0, 0, 191, 0, 0, 191
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\util\parse.js", "JavaScript", 0, 70, 0, 6, 12, 88
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\util\result.json", "JSON", 0, 0, 190, 0, 0, 190
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\util\vmess.js", "JavaScript", 0, 135, 0, 2, 9, 146
"Total", "-", 458, 330, 2174, 23, 130, 3115